atributo1_classe1,atributo2_classe1,atributo3_classe1,atributo1_classe2,atributo2_classe2,atributo3_classe2,classe
0,3214,1617,34703,0,0,Classe2
12,5871,433,73482,0,0,Classe2
30,16050,976,159039,0,0,Classe2
55,1906,537,93576,0,0,Classe2
21467,3325,970,170422,0,0,Classe2
0,4807,343,58823,0,0,Classe2
0,1918,538,116847,0,0,Classe2
0,4640,309,61385,0,0,Classe2
1300,5198,506,69200,0,0,Classe2
0,5683,381,63732,0,0,Classe2
0,7132,383,102844,0,0,Classe2
0,5720,409,137646,0,0,Classe2
239,5053,5670,153069,0,0,Classe2
3417,2345,902,98370,0,0,Classe2
37,1727,534,124966,0,0,Classe2
0,1583,516,128984,0,0,Classe2
57,4156,1142,63956,0,0,Classe2
10,3206,1504,86841,0,0,Classe2
0,3563,406,22480,0,0,Classe2
3771,1536,446,63114,0,0,Classe2
68,741,465,29073,0,0,Classe2
0,2328,296,52470,0,0,Classe2
0,2599,837,65434,0,0,Classe2
13,2643,2604,54583,0,0,Classe2
185,2645,968,52431,0,0,Classe2
0,2429,1003,42428,0,0,Classe2
5613,1741,1959,69718,0,0,Classe2
0,1338,179,31237,0,0,Classe2
0,1508,2377,43587,0,0,Classe2
0,1463,329,29554,0,0,Classe2
0,1994,1931,34997,0,0,Classe2
45,3996,1570,72954,0,0,Classe2
21207,6047,1349,92104,0,0,Classe2
10,4340,454,60442,0,0,Classe2
44,2170,3494,91888,0,0,Classe2
0,1951,12192,77613,0,0,Classe2
11346,8959,644,110845,0,0,Classe2
0,5514,1301,122290,0,0,Classe2
3,2469,877,188867,0,0,Classe2
25,10723,634,211977,0,0,Classe2
66339,0,0,22,7981,1475,Classe1
34703,0,0,0,3214,1617,Classe1
73482,0,0,12,5871,433,Classe1
66160,0,0,84,5654,316,Classe1
159039,0,0,30,16050,976,Classe1
93576,0,0,55,1906,537,Classe1
170422,0,0,21467,3325,970,Classe1
58823,0,0,0,4807,343,Classe1
116847,0,0,0,1918,538,Classe1
61385,0,0,0,4640,309,Classe1
69200,0,0,1300,5198,506,Classe1
63732,0,0,0,5683,381,Classe1
102844,0,0,0,7132,383,Classe1
137646,0,0,0,5720,409,Classe1
153069,0,0,239,5053,5670,Classe1
98370,0,0,3417,2345,902,Classe1
124966,0,0,37,1727,534,Classe1
61412,0,0,555,982,320,Classe1
128984,0,0,0,1583,516,Classe1
86299,0,0,0,1402,288,Classe1
86841,0,0,10,3206,1504,Classe1
63114,0,0,3771,1536,446,Classe1
29073,0,0,68,741,465,Classe1
52470,0,0,0,2328,296,Classe1
31039,0,0,0,2684,633,Classe1
49521,0,0,0,3293,3388,Classe1
54583,0,0,13,2643,2604,Classe1
52431,0,0,185,2645,968,Classe1
42428,0,0,0,2429,1003,Classe1
69718,0,0,5613,1741,1959,Classe1
31237,0,0,0,1338,179,Classe1
28302,0,0,0,405,530,Classe1
72954,0,0,45,3996,1570,Classe1
92104,0,0,21207,6047,1349,Classe1
34703,0,0,0,3214,1617,Classe1
58705,0,0,0,9615,366,Classe1
91888,0,0,44,2170,3494,Classe1
110845,0,0,11346,8959,644,Classe1
122290,0,0,0,5514,1301,Classe1
211977,0,0,25,10723,634,Classe1
